"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 11:46:01 GMT 2022","Mon Nov 14 11:46:02 GMT 2022","352","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Mon Nov 14 11:45:42 GMT 2022","Mon Nov 14 11:45:42 GMT 2022","294","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Mon Nov 14 11:48:27 GMT 2022","Mon Nov 14 11:48:28 GMT 2022","1202","","Utilities","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Mon Nov 14 11:46:50 GMT 2022","Mon Nov 14 11:46:51 GMT 2022","206","","Cypress.log","","","","Control what is printed to the Command Log",""
"passed","Mon Nov 14 11:46:23 GMT 2022","Mon Nov 14 11:46:23 GMT 2022","447","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Mon Nov 14 11:46:33 GMT 2022","Mon Nov 14 11:46:34 GMT 2022","161","","Connectors","","","",".invoke() - invoke a function on the current subject",""
"passed","Mon Nov 14 11:46:50 GMT 2022","Mon Nov 14 11:46:50 GMT 2022","311","","Cypress.config()","","","","Get and set configuration options",""
"passed","Mon Nov 14 11:46:34 GMT 2022","Mon Nov 14 11:46:34 GMT 2022","160","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Mon Nov 14 11:46:34 GMT 2022","Mon Nov 14 11:46:34 GMT 2022","171","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Mon Nov 14 11:48:16 GMT 2022","Mon Nov 14 11:48:16 GMT 2022","155","","Traversal","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Mon Nov 14 11:46:33 GMT 2022","Mon Nov 14 11:46:33 GMT 2022","577","","Connectors","","","",".each() - iterate over an array of elements",""
"passed","Mon Nov 14 11:46:34 GMT 2022","Mon Nov 14 11:46:34 GMT 2022","138","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Mon Nov 14 11:46:50 GMT 2022","Mon Nov 14 11:46:50 GMT 2022","230","","Cypress.env()","","","","Get environment variables",""
"passed","Mon Nov 14 11:46:58 GMT 2022","Mon Nov 14 11:46:59 GMT 2022","263","","Files","","","","cy.fixture() or require - load a fixture",""
"passed","Mon Nov 14 11:46:24 GMT 2022","Mon Nov 14 11:46:24 GMT 2022","184","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Mon Nov 14 11:46:24 GMT 2022","Mon Nov 14 11:46:26 GMT 2022","1695","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Mon Nov 14 11:46:23 GMT 2022","Mon Nov 14 11:46:24 GMT 2022","197","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
